candidate_id,tag_name,category,chunk_text,chunk_summary,document_title,document_ref,llm_confidence,evidence_snippets,candidate_sources,notes_for_reviewer,review_decision,review_reason,reviewer_notes
TQ-0001,Zero Trust Architecture,Security Strategy,"The program will adopt a Zero Trust Architecture (ZTA) in alignment with OMB M-22-09, prioritizing identity-centric controls and continuous verification.",Mentions adopting Zero Trust Architecture and references OMB guidance.,FY26 Zero Trust Implementation Plan,doc://D001,0.91,"“…adopt a Zero Trust Architecture (ZTA)…”, “...alignment with OMB M-22-09…”","LLM, NER, Keyphrase",Check whether 'OMB M-22-09' should also be tagged as Policy/Standard.,,,
TQ-0002,OMB M-22-09,Policy/Standard,"In alignment with OMB M-22-09, agencies must meet specific maturity targets for identity, device, network, application, and data pillars.",Explicitly references OMB M-22-09 and maturity targets.,FY26 Zero Trust Implementation Plan,doc://D001,0.88,“…alignment with OMB M-22-09…”,"NER, Pattern",Policy tag looks directly supported; verify category is correct.,,,
TQ-0003,FedRAMP Moderate,Compliance,The hosted solution must maintain a FedRAMP Moderate authorization and provide continuous monitoring artifacts to the security team.,Requires FedRAMP Moderate authorization and continuous monitoring.,Cloud Hosting Requirements (SaaS),doc://D002,0.93,“…must maintain a FedRAMP Moderate authorization…”,"LLM, NER","If your taxonomy distinguishes FedRAMP vs Authorization Level, confirm the preferred label.",,,
TQ-0004,NIST SP 800-53,Policy/Standard,"Security controls will be implemented per NIST SP 800-53 Rev. 5, with assessment procedures aligned to organization policy.",Mentions NIST SP 800-53 Rev. 5 for security controls.,System Security Plan (SSP) Excerpt,doc://D003,0.9,“…per NIST SP 800-53 Rev. 5…”,"NER, Pattern",Consider also tagging 'SSP' as Doc Type if you track it.,,,
TQ-0005,Audit Logging,Security Control,"All authentication events must be logged, retained for 365 days, and forwarded to the central SIEM within 5 minutes of creation.","Specifies logging, retention, and SIEM forwarding requirements.",Security Logging & Monitoring SOP,doc://D004,0.82,“…must be logged… retained for 365 days… forwarded to the central SIEM…”,"Keyphrase, LLM","If 'SIEM' is an Approved tag, you may prefer 'SIEM Integration' or similar.",,,
TQ-0006,PII,Data Type,"The dataset includes personally identifiable information (PII), including names, email addresses, and employee IDs.",States the dataset contains PII with examples.,Data Inventory Register,doc://D005,0.95,“…includes personally identifiable information (PII)…”,"NER, Pattern",High confidence; ensure your canonical label is 'PII' or spelled out.,,,
TQ-0007,Data Retention,Data Governance,"Records will be retained for 7 years following project closeout, unless superseded by litigation hold or updated retention schedules.",Defines retention period and exceptions.,Records Retention Policy,doc://D006,0.79,“…retained for 7 years…”,Keyphrase,Check whether this is too broad vs a more specific tag like 'Retention Schedule'.,,,
TQ-0008,Attribute-Based Access Control (ABAC),Access Control,"Access decisions are evaluated using user attributes, resource attributes, and environmental context, enabling ABAC policies for fine-grained authorization.",Describes ABAC and how attributes drive authorization.,Authorization Design Notes,doc://D007,0.87,“…enabling ABAC policies…”,"LLM, Keyphrase","If you prefer canonical tags without parentheses, map to 'ABAC' via alias table.",,,
TQ-0009,Role-Based Access Control (RBAC),Access Control,The application currently enforces RBAC with roles defined per business function; elevated roles require approval by system owners.,States the system uses RBAC and approval for elevated access.,Access Management Procedures,doc://D008,0.84,“…enforces RBAC…”,"NER, Keyphrase",Consider whether to add 'Privileged Access' as separate tag.,,,
TQ-0010,Kubernetes,Technology,Workloads will be deployed to a managed Kubernetes cluster using GitOps; images are scanned at build time and admission policies enforce baseline controls.,Mentions managed Kubernetes deployment with GitOps and security controls.,Platform Deployment Architecture,doc://D009,0.86,“…managed Kubernetes cluster…”,"NER, Keyphrase","If your org standardizes on 'K8s' as canonical, map via alias.",,,
TQ-0011,Terraform,Technology,Infrastructure is provisioned using Terraform modules with policy checks in CI to ensure compliant network baselines.,Describes IaC provisioning with Terraform and CI policy checks.,Infrastructure as Code Guidelines,doc://D010,0.8,“…provisioned using Terraform modules…”,"Keyphrase, LLM",Potentially also tag 'Infrastructure as Code' as concept (if in Approved list).,,,
TQ-0012,Data Lake,Architecture,"Raw and curated zones will be stored in the enterprise data lake, with partitioning by source system and lifecycle rules for cold storage.",Mentions enterprise data lake with zoning and lifecycle rules.,Enterprise Data Platform Overview,doc://D011,0.73,“…stored in the enterprise data lake…”,LLM,Check if 'Data Lake' is too generic vs your preferred internal platform name.,,,
